player_name,team,class_year,position,games_played,archetype_id,archetype_name,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct,Player,Draft_Prob
Lazaria Spearman,Tennessee Lady Volunteers Women's,SR,F,30.0,3,Interior Specialist,519755,611477,703198,10.2,0.384,0.233,0.611,0.067,0.116,1.3,0.8,0.229,0.454,Lazaria Spearman,0.006378301611485053
Nya Robertson,Tennessee Lady Volunteers Women's,SR,G,30.0,1,Bench Guard/Wing,490265,576782,663299,8.5,0.361,0.331,0.667,0.102,0.054,0.1,0.6,0.2,0.491,Nya Robertson,0.00480490981516376
Jakoriah Long,Tarleton State Texans Women's,SR,G,31.0,2,High-Volume Wing/Guard,546757,643244,739731,11.7,0.402,0.374,0.782,0.115,0.058,0.2,1.0,0.207,0.516,Jakoriah Long,6.971285702897261e-05
Gia Adams,Tarleton State Texans Women's,SR,G,31.0,2,High-Volume Wing/Guard,545056,641242,737428,11.6,0.355,0.265,0.848,0.244,0.041,0.3,1.2,0.233,0.453,Gia Adams,2.387622656059158e-05
Kyriana Jones,Tarleton State Texans Women's,SR,G-F,28.0,1,Bench Guard/Wing,479192,563755,648318,7.9,0.374,0.288,0.683,0.085,0.08,0.0,0.8,0.189,0.457,Kyriana Jones,8.099063309608475e-05
Laila Phelia,Syracuse Orange Women's,SR,G,32.0,2,High-Volume Wing/Guard,581160,683717,786275,13.7,0.395,0.359,0.854,0.081,0.046,0.2,2.0,0.223,0.499,Laila Phelia,0.0006599997564092422
Dominique Darius,Syracuse Orange Women's,SR,G,30.0,2,High-Volume Wing/Guard,561885,661041,760198,12.6,0.398,0.294,0.839,0.264,0.076,0.2,1.6,0.272,0.508,Dominique Darius,0.04662101747669272
Diaka Berete,Stony Brook Seawolves Women's,SR,G,33.0,2,High-Volume Wing/Guard,532674,626675,720676,10.9,0.402,0.353,0.73,0.086,0.099,0.1,1.4,0.242,0.529,Diaka Berete,9.314378047006901e-06
Sandra Frau-Garcia,Stony Brook Seawolves Women's,SR,G,33.0,1,Bench Guard/Wing,458286,539160,620034,6.6,0.347,0.194,0.759,0.333,0.085,0.1,2.2,0.189,0.429,Sandra Frau-Garcia,2.169510390730564e-05
Cameron Thomas,Stetson Hatters Women's,SR,G,32.0,2,High-Volume Wing/Guard,627576,738325,849073,16.3,0.434,0.363,0.788,0.11,0.088,0.1,0.6,0.283,0.57,Cameron Thomas,0.0022549366790492902
