player_name,team,class_year,position,games_played,archetype_id,archetype_name,draft_probability,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct
Abbie Riddle,Wright State Raiders Women's,SO,G,18.0,4,Efficient Role Player,,456908,537539,618170,6.6,0.469,0.308,0.483,0.06,0.067,0.1,0.9,0.193,0.528
Olivia Brown,Wright State Raiders Women's,JR,G,32.0,1,Bench Guard/Wing,,562776,662090,761403,3.7,0.366,0.364,0.745,0.254,0.087,0.1,0.9,0.145,0.491
Maja Dilén,Wright State Raiders Women's,FR,G,27.0,3,Interior Specialist,,565025,664736,764446,3.8,0.447,0.333,0.733,0.099,0.116,0.1,0.3,0.161,0.514
Elaina Rager,Wright State Raiders Women's,FR,G,32.0,1,Bench Guard/Wing,,537890,632812,727734,2.3,0.321,0.32,1.0,0.055,0.081,0.1,0.3,0.176,0.452
MaKenzie Drout,Wright State Raiders Women's,JR,G,12.0,4,Efficient Role Player,,533643,627815,721987,2.1,0.391,0.417,1.0,0.076,0.086,0.0,0.2,0.184,0.522
Florrie Cotterill,Wright State Raiders Women's,SO,F,29.0,1,Bench Guard/Wing,,507149,596646,686143,0.7,0.36,0.0,0.125,0.044,0.07,0.1,0.1,0.114,0.33
Gabby Mundy,Wofford Terriers Women's,FR,G,29.0,2,High-Volume Wing/Guard,,605187,711985,818783,15.0,0.399,0.381,0.713,0.265,0.086,0.0,1.2,0.281,0.486
Queen Ikhiuwu,Wofford Terriers Women's,JR,F,28.0,0,Elite Two-Way Big,,572126,673089,774052,13.2,0.47,0.273,0.778,0.14,0.142,0.9,0.7,0.278,0.498
Maddie Heiss,Wofford Terriers Women's,JR,G,29.0,1,Bench Guard/Wing,,542808,638597,734387,11.5,0.404,0.292,0.917,0.082,0.078,0.1,0.4,0.193,0.522
Molly Masingale,Wofford Terriers Women's,SO,G,23.0,1,Bench Guard/Wing,,489890,576341,662792,8.5,0.38,0.33,0.722,0.09,0.067,0.5,0.9,0.157,0.529
Toni Warren,Wofford Terriers Women's,SO,F,25.0,1,Bench Guard/Wing,,478210,562599,646989,7.8,0.397,0.275,0.95,0.047,0.097,0.6,0.5,0.194,0.457
Elli Porter,Wofford Terriers Women's,FR,G,29.0,1,Bench Guard/Wing,,583167,686079,788991,4.8,0.322,0.28,0.919,0.074,0.048,0.0,0.3,0.142,0.498
Mia Flor,Wofford Terriers Women's,SR,F,29.0,3,Interior Specialist,,542962,638779,734596,2.6,0.441,0.233,0.444,0.091,0.112,0.4,0.2,0.128,0.49
Sophia Rueppell,Wofford Terriers Women's,JR,G,22.0,1,Bench Guard/Wing,,531255,625006,718757,2.0,0.319,0.217,0.667,0.15,0.071,0.0,0.3,0.181,0.408
Courtney Swider,Wofford Terriers Women's,JR,F,26.0,1,Bench Guard/Wing,,525680,618447,711214,1.7,0.275,0.171,0.643,0.045,0.113,0.3,0.3,0.121,0.373
Madi Hawk,Wofford Terriers Women's,SO,G,22.0,1,Bench Guard/Wing,,523670,616082,708494,1.5,0.276,0.273,0.75,0.06,0.069,0.1,0.1,0.117,0.464
Sara Deidda,Wofford Terriers Women's,JR,G,12.0,1,Bench Guard/Wing,,518189,609634,701079,1.2,0.357,0.167,0.444,0.095,0.087,0.0,0.3,0.167,0.41
Abby Eller,Wofford Terriers Women's,FR,G,12.0,1,Bench Guard/Wing,,518189,609634,701079,1.2,0.333,0.222,0.167,0.248,0.136,0.0,0.2,0.16,0.36
Destiny Howell,Wisconsin Badgers Women's,SR,G,33.0,2,High-Volume Wing/Guard,,587259,690892,794526,14.0,0.429,0.389,0.797,0.101,0.056,0.3,0.7,0.257,0.54
Kyrah Daniels,Wisconsin Badgers Women's,JR,G,34.0,2,High-Volume Wing/Guard,,557522,655908,754295,12.4,0.384,0.345,0.868,0.179,0.097,0.3,1.2,0.237,0.496
Gift Uchenna,Wisconsin Badgers Women's,JR,F,34.0,0,Elite Two-Way Big,,499926,588148,676370,9.1,0.472,0.5,0.617,0.105,0.21,1.4,0.9,0.289,0.493
Ronnie Porter,Wisconsin Badgers Women's,SR,G,34.0,1,Bench Guard/Wing,,447953,527003,606054,6.0,0.367,0.318,0.805,0.287,0.079,0.1,1.6,0.136,0.476
Laci Steele,Wisconsin Badgers Women's,JR,G,34.0,1,Bench Guard/Wing,,447453,526415,605378,6.0,0.362,0.315,0.7,0.087,0.084,0.3,1.0,0.162,0.474
Dorja Iva Zaja,Wisconsin Badgers Women's,FR,,33.0,3,Interior Specialist,,435640,512518,589396,5.3,0.56,0.25,0.8,0.124,0.114,0.8,0.3,0.231,0.59
Lily Krahn,Wisconsin Badgers Women's,SR,G,34.0,4,Efficient Role Player,,427546,502995,578444,4.8,0.482,0.448,0.917,0.069,0.036,0.1,0.6,0.129,0.685
Breauna Ware,Wisconsin Badgers Women's,SO,G,25.0,1,Bench Guard/Wing,,437281,514448,591615,5.4,0.398,0.389,0.686,0.124,0.059,0.1,0.7,0.192,0.51
Shay Bollin,Wisconsin Badgers Women's,SR,F,34.0,1,Bench Guard/Wing,,562062,661249,760437,3.6,0.382,0.281,0.84,0.178,0.081,0.3,0.4,0.15,0.505
Jovana Spasovki,Wisconsin Badgers Women's,SO,G,31.0,1,Bench Guard/Wing,,532696,626701,720707,2.0,0.414,0.05,0.778,0.066,0.078,0.0,0.1,0.175,0.473
Alie Bisballe,Wisconsin Badgers Women's,SO,F,18.0,3,Interior Specialist,,513550,604176,694803,1.0,0.438,0.2,0.5,0.102,0.136,0.2,0.1,0.199,0.477
Nikki Kerstein,Wisconsin Badgers Women's,FR,,23.0,1,Bench Guard/Wing,,509515,599429,689344,0.8,0.241,0.154,1.0,0.162,0.038,0.0,0.2,0.128,0.301
