PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,player_norm,player_full_name,team_abbrev,old_salary,old_salary_year,signed_as,projected_new_salary
204319,Jewell Loyd,SEA,31.0,37,33.7,19.7,6.1,16.8,0.36,1.6,5.8,0.274,6.0,6.8,0.881,0.7,3.8,4.5,3.6,1.4,0.2,2.3,102.7,94.9,7.8,0.181,1.59,14.3,0.02,0.108,0.065,0.408,0.497,0.278,98.15,0.116,jewell loyd,Jewell Loyd,LVA,249032.0,2025,Core,1217974.0
1627673,Jonquel Jones,NYL,31.0,39,29.9,14.2,5.3,9.8,0.538,1.5,3.9,0.388,2.1,2.7,0.788,1.7,7.3,9.0,3.2,0.8,1.3,2.4,107.8,94.4,13.4,0.18,1.37,19.5,0.06,0.237,0.151,0.615,0.645,0.194,96.11,0.156,jonquel jones,Jonquel Jones,NYL,211150.0,2023,Core,1195605.0
1641651,Jordan Horston,SEA,24.0,39,22.3,6.8,2.8,5.8,0.493,0.3,1.3,0.25,0.8,1.1,0.721,1.2,3.1,4.3,1.8,1.3,0.7,1.7,100.0,98.3,1.7,0.125,1.05,18.2,0.053,0.136,0.095,0.522,0.545,0.15,98.89,0.093,jordan horston,Jordan Horston,SEA,76630.0,2025,,426958.0
1628886,Jordin Canada,ATL,29.0,20,31.2,10.6,3.5,8.9,0.39,0.8,2.9,0.281,2.9,3.7,0.781,0.6,2.9,3.5,5.8,1.6,0.3,2.1,100.7,99.7,1.0,0.312,2.76,31.5,0.018,0.099,0.056,0.435,0.504,0.176,93.24,0.105,jordin canada,Jordin Canada,ATL,190000.0,2025,UFA,812939.0
1630115,Joyner Holmes,SEA,27.0,27,8.5,2.9,1.2,2.9,0.423,0.2,1.1,0.194,0.3,0.4,0.636,0.5,1.3,1.8,0.9,0.2,0.2,0.8,92.8,102.7,-9.9,0.181,1.19,19.4,0.055,0.146,0.099,0.462,0.477,0.182,101.22,0.071,joyner holmes,Joyner Holmes,DAL,78831.0,2025,UFA,360117.0
1642210,Julie Vanloo,WAS,32.0,40,23.2,7.4,2.7,7.7,0.346,1.8,5.6,0.324,0.3,0.4,0.667,0.1,1.5,1.6,4.3,0.5,0.0,2.6,98.8,103.4,-4.6,0.295,1.7,29.4,0.005,0.071,0.037,0.464,0.47,0.195,97.72,0.049,julie vanloo,Julie Vanloo,LAS,66079.0,2025,Rookie,270000.0
1628273,Kaela Davis,CHI,30.0,4,12.9,3.0,1.0,3.0,0.333,0.5,0.5,1.0,0.5,1.0,0.5,0.3,0.8,1.0,0.3,0.3,0.5,1.0,85.6,117.3,-31.8,0.04,0.25,5.3,0.019,0.058,0.038,0.417,0.436,0.161,90.84,-0.003,kaela davis,Kaela Davis,SEA,76535.0,2024,UFA,350399.0
1627674,Kahleah Copper,PHO,30.0,37,32.3,21.1,7.4,17.0,0.435,1.9,5.9,0.314,4.5,5.6,0.807,0.6,3.9,4.5,2.3,0.8,0.1,3.0,101.8,107.1,-5.2,0.139,0.76,9.2,0.021,0.116,0.071,0.49,0.544,0.311,96.29,0.1,kahleah copper,Kahleah Copper,PHX,248134.0,2025,Core,1217480.0
1629480,Kalani Brown,DAL,28.0,39,13.2,5.7,2.4,4.1,0.582,0.0,0.1,0.0,1.0,1.5,0.661,1.1,1.9,3.1,1.1,0.2,0.6,1.2,96.9,106.6,-9.7,0.136,0.85,15.1,0.082,0.149,0.115,0.582,0.606,0.181,102.03,0.102,kalani brown,Kalani Brown,PHX,128750.0,2025,UFA,567066.0
1642289,Kamilla Cardoso,CHI,24.0,32,27.4,9.8,3.9,7.6,0.521,0.0,0.0,0.0,1.9,2.6,0.726,3.0,4.9,7.9,1.7,0.5,1.4,1.5,98.7,104.6,-5.9,0.1,1.1,14.0,0.103,0.181,0.141,0.521,0.561,0.16,95.04,0.11,kamilla cardoso,Kamilla Cardoso,CHI,78066.0,2025,Rookie,305615.0
